SAAB_TABLE,SAAB_FIELD,AR_HUB_ENTITY,AR_HUB_FIELD,TRANSFORM
CUSTOMER_MASTER,CUST_NO,CustomerAccount,accountNumber,DIRECT
CUSTOMER_MASTER,CUST_NAME,CustomerAccount,legalName,DIRECT
CUSTOMER_MASTER,IC_NO,CustomerAccount,ICNumber,ENCRYPT_AES256
BILL_HEADER,BILL_NO,Invoice,invoiceNumber,DIRECT
BILL_HEADER,BILL_DATE,Invoice,invoiceDate,DATE_FORMAT
BILL_HEADER,TOTAL_AMT,Invoice,totalAmount,DECIMAL
PAYMENT,RECEIPT_NO,Payment,paymentReference,DIRECT
PAYMENT,PAY_DATE,Payment,paymentDate,DATE_FORMAT
PAYMENT,PAY_AMT,Payment,amount,DECIMAL
